option,year,employmentChange,lowEnd,highEnd
2025_10_0_1,2020,-0.0027250000000121877,5.2937506235282926e-5,-0.006420574455895457
2025_10_0_2,2020,-0.0027250000000121877,5.6515606881682024e-5,-0.00684611654542658
2025_10_0_3,2020,-0.0027250000000121877,5.759530280397053e-5,-0.006959044871707715
2025_10_1_1,2020,-0.0037250000000121877,9.338945191606025e-5,-0.009762750455111229
2025_10_1_2,2020,-0.0037250000000121877,9.938414189464639e-5,-0.010396629172140251
2025_10_1_3,2020,-0.004725000000012188,1.0105976795173551e-4,-0.010575128247877135
2025_10_2_1,2020,-0.007725000000012188,1.8022007872188318e-4,-0.019176001538082788
2025_10_2_2,2020,-0.007725000000012188,1.872279386307447e-4,-0.01992036422117632
2025_10_2_3,2020,-0.007725000000012188,1.8917656303115424e-4,-0.020143373752379803
2025_11_0_1,2020,-0.004762500000002775,9.531120379304278e-5,-0.010184291915598694
2025_11_0_2,2020,-0.004762500000002775,1.0035766503276767e-4,-0.010726630057986717
2025_11_0_3,2020,-0.004762500000002775,1.017144770713866e-4,-0.010905130700471942
2025_11_1_1,2020,-0.005762500000002775,1.4770830762865855e-4,-0.014621842393809183
2025_11_1_2,2020,-0.006762500000002775,1.5531503616022233e-4,-0.015323407612869992
2025_11_1_3,2020,-0.006762500000002775,1.573587825724482e-4,-0.015523950656546291
2025_11_2_1,2020,-0.009762500000002774,2.337125838006862e-4,-0.02498558425458808
2025_11_2_2,2020,-0.010762500000002773,2.424516626469879e-4,-0.02618855993042768
2025_11_2_3,2020,-0.010762500000002773,2.4473314624744153e-4,-0.026516076889683503
2025_12_0_1,2020,-0.006762500000002775,-1.566960556713536e-5,-0.0206719342165661
2025_12_0_2,2020,-0.006762500000002775,1.621826112478045e-4,-0.016165982641937932
2025_12_0_3,2020,-0.006762500000002775,1.6411712384814062e-4,-0.016346513098632023
2025_12_1_1,2020,-0.008762500000002773,2.20148220296719e-4,-0.020710154507564207
2025_12_1_2,2020,-0.008762500000002773,2.2810349105853548e-4,-0.02159410150665697
2025_12_1_3,2020,-0.008762500000002773,2.2988262927457065e-4,-0.021880146460517797
2025_12_2_1,2020,-0.012762500000002773,3.089158090614381e-4,-0.032380069361507155
2025_12_2_2,2020,-0.013762500000002774,3.1831240354483135e-4,-0.03363941290784206
2025_12_2_3,2020,-0.013762500000002774,3.2072780317477054e-4,-0.03398530948995162
2025_13_0_1,2020,-0.009762500000002774,2.281430327299534e-4,-0.022432362070257866
2025_13_0_2,2020,-0.009762500000002774,2.3671601875122162e-4,-0.02326089506975376
2025_13_0_3,2020,-0.009762500000002774,2.3896789819262252e-4,-0.023488629437058102
2025_13_1_1,2020,-0.011762500000002774,2.980630309674079e-4,-0.028713335664504142
2025_13_1_2,2020,-0.012762500000002773,3.064556765448005e-4,-0.029873268384051455
2025_13_1_3,2020,-0.012762500000002773,3.086052674075776e-4,-0.03016118966578109
2025_13_2_1,2020,-0.016762500000002775,3.930923647403913e-4,-0.0411114776274964
2025_13_2_2,2020,-0.017762500000002773,4.039237134268598e-4,-0.0426892298213271
2025_13_2_3,2020,-0.017762500000002773,4.0669721148848317e-4,-0.043076068764849255
2025_14_0_1,2020,-0.012200000000001864,3.1599729396346754e-4,-0.03037359350572927
2025_14_0_2,2020,-0.013200000000001865,3.239560837446125e-4,-0.03151043147904925
2025_14_0_3,2020,-0.013200000000001865,3.2599685772140833e-4,-0.031825358293650574
2025_14_1_1,2020,-0.015200000000001865,3.7782733331192717e-4,-0.0377312120039803
2025_14_1_2,2020,-0.016200000000001866,3.873108503706321e-4,-0.039161603177791535
2025_14_1_3,2020,-0.016200000000001866,3.8974267121552164e-4,-0.03949691173670009
2025_14_2_1,2020,-0.020200000000001866,5.539598277764093e-4,-0.051587946150618555
2025_14_2_2,2020,-0.021200000000001863,5.717782179435084e-4,-0.05323737622162688
2025_14_2_3,2020,-0.021200000000001863,5.764075133137194e-4,-0.05366540221304553
2025_15_0_1,2020,-0.016200000000001866,4.3149652593611385e-4,-0.04043076602314982
2025_15_0_2,2020,-0.017200000000001863,4.409398850782328e-4,-0.04164168147755905
2025_15_0_3,2020,-0.017200000000001863,4.4334858904994666e-4,-0.041981463992521714
2025_15_1_1,2020,-0.020200000000001866,5.242118987295668e-4,-0.04913390177704732
2025_15_1_2,2020,-0.020200000000001866,5.388920946108906e-4,-0.05037964102574499
2025_15_1_3,2020,-0.020200000000001866,5.426469257791125e-4,-0.05074437721396882
2025_15_2_1,2020,-0.025200000000001863,6.847182069687151e-4,-0.06384331367321
2025_15_2_2,2020,-0.026200000000001864,7.035169684256954e-4,-0.06573832605568282
2025_15_2_3,2020,-0.026200000000001864,7.083242592664367e-4,-0.06625579429213443
2026_10_0_1,2020,-0.0017250000000121877,3.161998846635546e-5,-0.0051021686651480935
2026_10_0_2,2020,-0.0017250000000121877,4.1519815087972906e-5,-0.005414176208662155
2026_10_0_3,2020,-0.0017250000000121877,4.2244432209184496e-5,-0.005495769071175719
2026_10_1_1,2020,-0.0027250000000121877,7.894823273001843e-5,-0.00773791405528073
2026_10_1_2,2020,-0.0027250000000121877,8.319934675667886e-5,-0.008226948233629485
2026_10_1_3,2020,-0.0037250000000121877,8.43332276328521e-5,-0.008373930843148051
2026_10_2_1,2020,-0.005725000000012188,0.00014451425981948919,-0.015583863288066765
2026_10_2_2,2020,-0.006725000000012188,1.4837329532419138e-4,-0.01627348024672009
2026_10_2_3,2020,-0.006725000000012188,1.4970891701832214e-4,-0.016449763202850808
2026_11_0_1,2020,-0.0037250000000121877,7.215729587290462e-5,-0.00830476626167884
2026_11_0_2,2020,-0.0037250000000121877,7.661741922744969e-5,-0.00871715786562098
2026_11_0_3,2020,-0.0037250000000121877,7.784988827502165e-5,-0.00885022154877772
2026_11_1_1,2020,-0.004725000000012188,1.1261793506394572e-4,-0.011757361828592107
2026_11_1_2,2020,-0.004725000000012188,1.1844341102675041e-4,-0.012320076578401047
2026_11_1_3,2020,-0.004725000000012188,1.1997071484272195e-4,-0.012467507544554845
2026_11_2_1,2020,-0.007725000000012188,1.8936510307851378e-4,-0.020676326116598875
2026_11_2_2,2020,-0.008725000000012187,1.9592422483209927e-4,-0.021530045719313974
2026_11_2_3,2020,-0.008725000000012187,1.9767585620951572e-4,-0.021793190821451036
2026_12_0_1,2020,-0.004762500000002775,1.1468437502568192e-4,-0.011936912863659948
2026_12_0_2,2020,-0.005762500000002775,1.1955892715824917e-4,-0.012585303955026484
2026_12_0_3,2020,-0.005762500000002775,1.2084103575251175e-4,-0.012733662607443678
2026_12_1_1,2020,-0.006762500000002775,1.6550832227799634e-4,-0.016186961998734047
2026_12_1_2,2020,-0.006762500000002775,1.7242457367039435e-4,-0.01694383083854298
2026_12_1_3,2020,-0.006762500000002775,1.7414740021608763e-4,-0.017130075160557763
2026_12_2_1,2020,-0.010762500000002773,2.4000831249980487e-4,-0.025998149239458996
2026_12_2_2,2020,-0.010762500000002773,2.497997748909087e-4,-0.027097616256236433
2026_12_2_3,2020,-0.010762500000002773,2.524546342756252e-4,-0.02739387477826836
