Year,Market Income,Social Insurance Benefits,Income Before Transfers and Taxes,Means- Tested Transfers,Federal Taxes,Income After Transfers and Taxes,quintile
1979,63700,4800,68500,1500,15400,54600,all
1980,61400,5100,66500,1600,14900,53200,all
1981,61400,5400,66800,1600,15100,53300,all
1982,61000,5900,66900,1600,13900,54500,all
1983,61600,6000,67600,1600,13900,55300,all
1984,65600,5800,71400,1600,14900,58100,all
1985,66600,5900,72500,1600,15200,58900,all
1986,71300,6100,77400,1700,16200,62800,all
1987,68900,6000,74900,1700,16300,60300,all
1988,72000,6000,78100,1700,17100,62600,all
1989,72500,6100,78600,1800,17000,63400,all
1990,71800,6400,78200,2000,16900,63200,all
1991,69600,6700,76400,2200,16500,62100,all
1992,71300,7000,78400,2400,17000,63800,all
1993,71400,7300,78700,2600,17400,63900,all
1994,72400,7200,79600,2600,17900,64400,all
1995,75500,7400,82900,2700,18800,66800,all
1996,78600,7500,86100,2600,19700,69100,all
1997,82500,7600,90100,2500,20700,71900,all
1998,87400,7600,95000,2600,21500,76100,all
1999,92200,7400,99600,2700,23000,79300,all
2000,94800,7500,102300,2700,23600,81500,all
2001,88800,7900,96700,2900,20900,78800,all
2002,84600,8300,92900,3200,19300,76800,all
2003,86100,8400,94500,3500,18800,79100,all
2004,91400,8400,99800,3600,20300,83200,all
2005,96600,8600,105200,3700,21900,86900,all
2006,100300,9000,109300,3600,22800,90000,all
2007,103500,9100,112700,3700,23100,93300,all
2008,95100,9500,104600,3900,19400,89100,all
2009,87400,11000,98400,4400,17600,85200,all
2010,89100,11000,100100,4500,18600,86100,all
2011,89300,10700,100000,4500,18300,86100,all
2012,93900,10800,104700,4500,19800,89400,all
2013,92600,10800,103400,4600,21400,86600,all
2014,96300,10800,107100,5300,22700,89700,all
2015,99300,11100,110400,5700,23300,92800,all
2016,98200,11300,109500,5800,22900,92500,all
2017,101800,11300,113100,5800,23500,95400,all
2018,103800,11400,115300,5600,22300,98600,all
1979,10400,5700,16100,5100,1500,19700,lowest
1980,9900,5600,15400,5500,1400,19500,lowest
1981,9900,5400,15300,5700,1500,19500,lowest
1982,9900,4900,14800,5900,1500,19200,lowest
1983,9700,4400,14100,6300,1600,18800,lowest
1984,10700,4500,15100,5900,1800,19200,lowest
1985,10400,4700,15100,6200,1800,19500,lowest
1986,10500,4400,14900,6300,1700,19500,lowest
1987,9900,4500,14400,6600,1500,19400,lowest
1988,10100,4700,14800,6700,1500,20000,lowest
1989,10900,4700,15500,7000,1500,21100,lowest
1990,11300,4800,16000,7600,1700,21900,lowest
1991,11500,4600,16100,8300,1600,22700,lowest
1992,11700,4500,16200,9100,1600,23600,lowest
1993,11900,4300,16200,9700,1600,24300,lowest
1994,11700,4400,16100,9800,1300,24500,lowest
1995,12800,4600,17400,9500,1300,25600,lowest
1996,13000,4300,17300,9400,1200,25500,lowest
1997,13700,4700,18300,8800,1300,25800,lowest
1998,14800,4700,19600,8900,1300,27200,lowest
1999,15200,5100,20300,8700,1500,27500,lowest
2000,14900,5100,20000,8800,1300,27500,lowest
2001,14500,5200,19700,9400,1200,27900,lowest
2002,14500,5000,19500,10000,1100,28400,lowest
2003,14300,4900,19200,10500,1100,28700,lowest
2004,14600,4900,19500,10800,1000,29300,lowest
2005,15200,4900,20100,10800,1100,29800,lowest
2006,16500,4500,21000,10700,1200,30500,lowest
2007,17600,4900,22500,10500,1200,31800,lowest
2008,17000,5000,22000,10900,200,32700,lowest
2009,16100,4900,21100,12400,-100,33500,lowest
2010,15800,4700,20600,13000,0,33500,lowest
2011,16000,4900,20800,12500,100,33200,lowest
2012,15400,4600,20000,12600,200,32400,lowest
2013,16300,4400,20700,13000,500,33200,lowest
2014,15600,4500,20200,14600,400,34400,lowest
2015,16500,4800,21300,15300,300,36300,lowest
2016,16200,5200,21400,15300,300,36400,lowest
2017,16200,5500,21700,15200,300,36700,lowest
2018,16600,5900,22500,15200,0,37700,lowest
1979,32000,6500,38600,900,5800,33700,second
1980,29900,7000,36900,1000,5400,32500,second
1981,29500,7100,36700,1100,5600,32200,second
1982,28000,7900,35900,1000,5000,31900,second
1983,27100,7900,35000,1000,4900,31100,second
1984,29800,7400,37200,1000,5500,32700,second
1985,29800,7400,37200,1000,5600,32600,second
1986,29800,7900,37700,1100,5700,33100,second
1987,28700,8100,36800,1100,5300,32600,second
1988,29400,8000,37400,1100,5500,32900,second
1989,29800,8000,37700,1200,5400,33500,second
1990,30900,8100,39000,1400,5800,34500,second
1991,29500,8600,38000,1700,5500,34200,second
1992,28500,9200,37700,2100,5200,34500,second
1993,28200,9600,37800,2200,5200,34800,second
1994,28400,9700,38100,2300,5100,35300,second
1995,30400,9700,40100,2500,5500,37100,second
1996,30700,9400,40100,2400,5500,36900,second
1997,32100,9500,41600,2400,5800,38200,second
1998,34000,9500,43500,2600,5800,40400,second
1999,35900,9100,45000,2700,6200,41600,second
2000,36200,8900,45100,2900,6100,41900,second
2001,34700,9900,44600,3200,5200,42600,second
2002,33200,10200,43400,3600,4800,42200,second
2003,32200,10800,43000,4000,4400,42600,second
2004,33300,10700,44000,4300,4500,43800,second
2005,33900,10600,44500,4100,4700,43900,second
2006,34500,10900,45500,4300,4800,45000,second
2007,37200,10500,47700,4300,5200,46700,second
2008,34800,11200,45900,4800,3600,47200,second
2009,32100,12400,44500,5600,3200,46900,second
2010,31600,12400,43900,5800,3300,46400,second
2011,31400,12200,43700,5900,3400,46300,second
2012,31200,12200,43400,6000,3300,46000,second
2013,31900,12300,44200,5900,4000,46100,second
2014,32300,12100,44300,6800,4000,47100,second
2015,33800,12500,46300,7100,4300,49200,second
2016,34600,12500,47100,7200,4400,49900,second
2017,34500,12900,47500,7300,4300,50400,second
2018,35900,12700,48600,7100,4000,51800,second
1979,54600,4400,59100,500,11300,48300,middle
1980,52100,5000,57100,400,10900,46700,middle
1981,51400,5400,56800,400,11000,46200,middle
1982,49900,6100,56000,400,10100,46200,middle
1983,48700,6600,55200,400,9700,45900,middle
1984,52300,6200,58400,400,10500,48300,middle
1985,52100,6400,58500,400,10600,48300,middle
1986,52800,6900,59800,400,10800,49300,middle
1987,52400,6900,59400,400,10500,49200,middle
1988,53600,6800,60300,400,11000,49800,middle
1989,54000,6900,60900,400,11000,50300,middle
1990,54100,7300,61400,500,11100,50700,middle
1991,52300,8000,60300,700,10700,50200,middle
1992,52200,8300,60500,700,10700,50600,middle
1993,52200,8500,60700,900,10700,50900,middle
1994,52700,8300,60900,900,10900,51000,middle
1995,54600,8500,63100,1000,11300,52900,middle
1996,55400,8700,64100,1000,11400,53700,middle
1997,57000,8400,65400,900,11800,54400,middle
1998,59000,8700,67700,900,11800,56800,middle
1999,61000,8600,69700,1100,12200,58600,middle
2000,61300,8800,70100,1200,12100,59200,middle
2001,60400,9400,69800,1300,11000,60100,middle
2002,58100,10300,68300,1500,10300,59500,middle
2003,57900,10300,68200,1700,9800,60100,middle
2004,60200,10200,70400,1800,10200,61900,middle
2005,61500,10200,71700,1900,10600,63000,middle
2006,61600,10800,72400,1800,10800,63400,middle
2007,64200,10800,75000,2000,11100,65800,middle
2008,61100,11600,72700,2100,8900,65900,middle
2009,57500,13600,71100,2500,8400,65100,middle
2010,56100,14200,70300,2500,8500,64300,middle
2011,56100,13500,69600,2500,8400,63700,middle
2012,56100,13600,69700,2500,8500,63700,middle
2013,57800,13100,70900,2600,9700,63700,middle
2014,59400,12900,72300,3000,10100,65200,middle
2015,61500,13300,74800,3400,10500,67800,middle
2016,61600,13700,75300,3600,10400,68500,middle
2017,63000,13500,76500,3600,10600,69500,middle
2018,63900,13600,77500,3400,9900,71100,middle
1979,76700,3600,80300,300,17400,63200,fourth
1980,73900,4100,78000,300,17000,61300,fourth
1981,74200,4700,78900,200,17600,61500,fourth
1982,72600,5500,78100,200,16100,62200,fourth
1983,72000,5800,77800,200,15600,62300,fourth
1984,76200,5700,81900,200,16700,65500,fourth
1985,76500,5800,82300,200,16800,65600,fourth
1986,79100,6100,85100,200,17600,67800,fourth
1987,80100,5600,85700,200,17500,68400,fourth
1988,80700,5600,86300,200,18000,68600,fourth
1989,81600,5800,87400,300,18100,69500,fourth
1990,80400,6300,86700,300,18000,69000,fourth
1991,79100,6700,85900,300,17600,68600,fourth
1992,79500,7200,86700,400,17600,69600,fourth
1993,80100,7400,87500,400,17800,70200,fourth
1994,81600,6900,88500,500,18300,70700,fourth
1995,83100,7400,90500,500,18700,72200,fourth
1996,84600,7700,92300,500,19100,73700,fourth
1997,86500,8000,94500,500,19600,75500,fourth
1998,90500,7700,98100,600,20200,78500,fourth
1999,93300,7400,100800,600,20800,80500,fourth
2000,95000,7500,102500,600,21200,81900,fourth
2001,93200,8100,101300,600,19500,82400,fourth
2002,90600,8900,99500,800,18400,81900,fourth
2003,92000,8800,100800,800,18000,83700,fourth
2004,95000,9100,104100,900,18700,86300,fourth
2005,96700,9100,105800,1000,19300,87400,fourth
2006,98100,9800,107900,1000,19700,89100,fourth
2007,100500,10300,110800,1100,20000,91800,fourth
2008,97300,10800,108100,1000,17300,91800,fourth
2009,92400,13200,105600,1200,16300,90500,fourth
2010,92000,13100,105100,1200,16700,89600,fourth
2011,92600,12400,105000,1200,16500,89700,fourth
2012,92800,12900,105700,1200,16800,90100,fourth
2013,95100,13100,108200,1200,18800,90500,fourth
2014,97100,12900,110000,1500,19500,92000,fourth
