Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:27,7:14,6:40,6:53,6:10,5:45,5:47,6:09,6:37,7:04,7:35,7:08
2,7:27,7:13,6:39,6:51,6:09,5:44,5:47,6:10,6:38,7:05,7:36,7:09
3,7:27,7:12,6:38,6:50,6:08,5:44,5:48,6:11,6:39,7:06,7:37,7:10
4,7:27,7:11,6:36,6:48,6:07,5:44,5:48,6:12,6:40,7:07,7:39,7:11
5,7:27,7:10,6:35,6:47,6:06,5:43,5:49,6:13,6:41,7:08,7:40,7:11
6,7:27,7:09,6:33,6:45,6:05,5:43,5:49,6:14,6:42,7:09,6:41,7:12
7,7:27,7:08,6:32,6:43,6:03,5:43,5:50,6:15,6:42,7:10,6:42,7:13
8,7:27,7:07,6:30,6:42,6:02,5:43,5:50,6:15,6:43,7:11,6:43,7:14
9,7:27,7:06,6:29,6:40,6:01,5:43,5:51,6:16,6:44,7:12,6:44,7:15
10,7:26,7:05,6:27,6:39,6:00,5:42,5:52,6:17,6:45,7:13,6:45,7:16
11,7:26,7:04,6:26,6:37,5:59,5:42,5:52,6:18,6:46,7:14,6:46,7:17
12,7:26,7:03,6:24,6:36,5:58,5:42,5:53,6:19,6:47,7:15,6:47,7:17
13,7:26,7:02,7:22,6:35,5:57,5:42,5:54,6:20,6:48,7:16,6:49,7:18
14,7:25,7:00,7:21,6:33,5:57,5:42,5:54,6:21,6:49,7:17,6:50,7:19
15,7:25,6:59,7:19,6:32,5:56,5:42,5:55,6:22,6:50,7:18,6:51,7:19
16,7:25,6:58,7:18,6:30,5:55,5:42,5:56,6:23,6:50,7:19,6:52,7:20
17,7:24,6:57,7:16,6:29,5:54,5:42,5:57,6:24,6:51,7:20,6:53,7:21
18,7:24,6:56,7:15,6:27,5:53,5:43,5:57,6:24,6:52,7:21,6:54,7:21
19,7:23,6:54,7:13,6:26,5:52,5:43,5:58,6:25,6:53,7:22,6:55,7:22
20,7:23,6:53,7:12,6:25,5:52,5:43,5:59,6:26,6:54,7:23,6:56,7:23
21,7:22,6:52,7:10,6:23,5:51,5:43,6:00,6:27,6:55,7:24,6:57,7:23
22,7:22,6:50,7:08,6:22,5:50,5:43,6:01,6:28,6:56,7:25,6:58,7:24
23,7:21,6:49,7:07,6:20,5:49,5:44,6:01,6:29,6:57,7:26,6:59,7:24
24,7:20,6:48,7:05,6:19,5:49,5:44,6:02,6:30,6:58,7:27,7:01,7:24
25,7:20,6:46,7:04,6:18,5:48,5:44,6:03,6:31,6:59,7:28,7:02,7:25
26,7:19,6:45,7:02,6:17,5:48,5:44,6:04,6:32,6:59,7:29,7:03,7:25
27,7:18,6:43,7:01,6:15,5:47,5:45,6:05,6:33,7:00,7:30,7:04,7:26
28,7:18,6:42,6:59,6:14,5:46,5:45,6:06,6:34,7:01,7:31,7:05,7:26
29,7:17,,6:57,6:13,5:46,5:46,6:07,6:34,7:02,7:32,7:06,7:26
30,7:16,,6:56,6:11,5:46,5:46,6:07,6:35,7:03,7:33,7:07,7:26
31,7:15,,6:54,,5:45,,6:08,6:36,,7:34,,7:27
