Type,Start,datetime,time,dayNumber
Feed,2022-07-01T14:33:00Z,2022-07-01T14:33:00Z,14.55,81
Diaper,2022-07-01T11:41:00Z,2022-07-01T11:41:00Z,11.683333333333334,81
Pump,2022-07-01T11:27:00Z,2022-07-01T11:27:00Z,11.45,81
Feed,2022-07-01T10:16:00Z,2022-07-01T10:16:00Z,10.266666666666667,81
Diaper,2022-07-01T09:34:00Z,2022-07-01T09:34:00Z,9.566666666666666,81
Pump,2022-07-01T08:19:00Z,2022-07-01T08:19:00Z,8.316666666666666,81
Diaper,2022-07-01T07:55:00Z,2022-07-01T07:55:00Z,7.916666666666667,81
Diaper,2022-07-01T07:04:00Z,2022-07-01T07:04:00Z,7.066666666666666,81
Feed,2022-07-01T06:46:00Z,2022-07-01T06:46:00Z,6.766666666666667,81
Feed,2022-06-30T22:12:00Z,2022-06-30T22:12:00Z,22.2,80
Pump,2022-06-30T22:02:00Z,2022-06-30T22:02:00Z,22.033333333333335,80
Diaper,2022-06-30T21:53:00Z,2022-06-30T21:53:00Z,21.883333333333333,80
Feed,2022-06-30T21:30:00Z,2022-06-30T21:30:00Z,21.5,80
Feed,2022-06-30T18:24:00Z,2022-06-30T18:24:00Z,18.4,80
Diaper,2022-06-30T17:45:00Z,2022-06-30T17:45:00Z,17.75,80
Pump,2022-06-30T16:14:00Z,2022-06-30T16:14:00Z,16.233333333333334,80
Feed,2022-06-30T16:09:00Z,2022-06-30T16:09:00Z,16.15,80
Diaper,2022-06-30T16:09:00Z,2022-06-30T16:09:00Z,16.15,80
Feed,2022-06-30T15:02:00Z,2022-06-30T15:02:00Z,15.033333333333333,80
Diaper,2022-06-30T13:53:00Z,2022-06-30T13:53:00Z,13.883333333333333,80
Pump,2022-06-30T12:53:00Z,2022-06-30T12:53:00Z,12.883333333333333,80
Feed,2022-06-30T11:45:00Z,2022-06-30T11:45:00Z,11.75,80
Feed,2022-06-30T11:35:00Z,2022-06-30T11:35:00Z,11.583333333333334,80
Diaper,2022-06-30T11:17:00Z,2022-06-30T11:17:00Z,11.283333333333333,80
Feed,2022-06-30T09:09:00Z,2022-06-30T09:09:00Z,9.15,80
Pump,2022-06-30T08:15:00Z,2022-06-30T08:15:00Z,8.25,80
Diaper,2022-06-30T08:13:00Z,2022-06-30T08:13:00Z,8.216666666666667,80
Diaper,2022-06-30T06:15:00Z,2022-06-30T06:15:00Z,6.25,80
Feed,2022-06-30T05:37:00Z,2022-06-30T05:37:00Z,5.616666666666667,80
Diaper,2022-06-30T05:20:00Z,2022-06-30T05:20:00Z,5.333333333333333,80
Feed,2022-06-29T21:26:00Z,2022-06-29T21:26:00Z,21.433333333333334,79
Feed,2022-06-29T21:26:00Z,2022-06-29T21:26:00Z,21.433333333333334,79
Diaper,2022-06-29T21:02:00Z,2022-06-29T21:02:00Z,21.033333333333335,79
Pump,2022-06-29T19:59:00Z,2022-06-29T19:59:00Z,19.983333333333334,79
Feed,2022-06-29T19:26:00Z,2022-06-29T19:26:00Z,19.433333333333334,79
Diaper,2022-06-29T19:02:00Z,2022-06-29T19:02:00Z,19.033333333333335,79
Feed,2022-06-29T18:42:00Z,2022-06-29T18:42:00Z,18.7,79
Diaper,2022-06-29T17:02:00Z,2022-06-29T17:02:00Z,17.033333333333335,79
Pump,2022-06-29T17:02:00Z,2022-06-29T17:02:00Z,17.033333333333335,79
Diaper,2022-06-29T16:05:00Z,2022-06-29T16:05:00Z,16.083333333333332,79
Feed,2022-06-29T15:52:00Z,2022-06-29T15:52:00Z,15.866666666666667,79
Feed,2022-06-29T14:53:00Z,2022-06-29T14:53:00Z,14.883333333333333,79
Pump,2022-06-29T14:01:00Z,2022-06-29T14:01:00Z,14.016666666666667,79
