Day,month,time,date,dayNumber
11,Apr,6.616666666666667,2022-04-11,0
12,Apr,6.6,2022-04-12,1
13,Apr,6.583333333333333,2022-04-13,2
14,Apr,6.55,2022-04-14,3
15,Apr,6.533333333333333,2022-04-15,4
16,Apr,6.5,2022-04-16,5
17,Apr,6.483333333333333,2022-04-17,6
18,Apr,6.45,2022-04-18,7
19,Apr,6.433333333333334,2022-04-19,8
20,Apr,6.416666666666667,2022-04-20,9
21,Apr,6.383333333333334,2022-04-21,10
22,Apr,6.366666666666666,2022-04-22,11
23,Apr,6.333333333333333,2022-04-23,12
24,Apr,6.316666666666666,2022-04-24,13
25,Apr,6.3,2022-04-25,14
26,Apr,6.283333333333333,2022-04-26,15
27,Apr,6.25,2022-04-27,16
28,Apr,6.233333333333333,2022-04-28,17
29,Apr,6.216666666666667,2022-04-29,18
30,Apr,6.183333333333334,2022-04-30,19
1,May,6.166666666666667,2022-05-01,20
2,May,6.15,2022-05-02,21
3,May,6.133333333333334,2022-05-03,22
4,May,6.116666666666666,2022-05-04,23
5,May,6.1,2022-05-05,24
6,May,6.083333333333333,2022-05-06,25
7,May,6.05,2022-05-07,26
8,May,6.033333333333333,2022-05-08,27
9,May,6.016666666666667,2022-05-09,28
10,May,6,2022-05-10,29
11,May,5.983333333333333,2022-05-11,30
12,May,5.966666666666667,2022-05-12,31
13,May,5.95,2022-05-13,32
14,May,5.95,2022-05-14,33
15,May,5.933333333333334,2022-05-15,34
16,May,5.916666666666667,2022-05-16,35
17,May,5.9,2022-05-17,36
18,May,5.883333333333333,2022-05-18,37
19,May,5.866666666666667,2022-05-19,38
20,May,5.866666666666667,2022-05-20,39
21,May,5.85,2022-05-21,40
22,May,5.833333333333333,2022-05-22,41
23,May,5.816666666666666,2022-05-23,42
24,May,5.816666666666666,2022-05-24,43
25,May,5.8,2022-05-25,44
26,May,5.8,2022-05-26,45
27,May,5.783333333333333,2022-05-27,46
28,May,5.766666666666667,2022-05-28,47
29,May,5.766666666666667,2022-05-29,48
30,May,5.766666666666667,2022-05-30,49
31,May,5.75,2022-05-31,50
1,Jun,5.75,2022-06-01,51
2,Jun,5.733333333333333,2022-06-02,52
3,Jun,5.733333333333333,2022-06-03,53
4,Jun,5.733333333333333,2022-06-04,54
5,Jun,5.716666666666667,2022-06-05,55
6,Jun,5.716666666666667,2022-06-06,56
7,Jun,5.716666666666667,2022-06-07,57
8,Jun,5.716666666666667,2022-06-08,58
9,Jun,5.716666666666667,2022-06-09,59
10,Jun,5.7,2022-06-10,60
11,Jun,5.7,2022-06-11,61
12,Jun,5.7,2022-06-12,62
13,Jun,5.7,2022-06-13,63
14,Jun,5.7,2022-06-14,64
15,Jun,5.7,2022-06-15,65
16,Jun,5.7,2022-06-16,66
17,Jun,5.7,2022-06-17,67
18,Jun,5.716666666666667,2022-06-18,68
19,Jun,5.716666666666667,2022-06-19,69
20,Jun,5.716666666666667,2022-06-20,70
21,Jun,5.716666666666667,2022-06-21,71
22,Jun,5.716666666666667,2022-06-22,72
23,Jun,5.733333333333333,2022-06-23,73
24,Jun,5.733333333333333,2022-06-24,74
25,Jun,5.733333333333333,2022-06-25,75
26,Jun,5.733333333333333,2022-06-26,76
27,Jun,5.75,2022-06-27,77
28,Jun,5.75,2022-06-28,78
29,Jun,5.766666666666667,2022-06-29,79
30,Jun,5.766666666666667,2022-06-30,80
1,Jul,5.783333333333333,2022-07-01,81
