Day,month,time,date,dayNumber
11,Apr,19.683333333333334,2022-04-11,0
12,Apr,19.7,2022-04-12,1
13,Apr,19.716666666666665,2022-04-13,2
14,Apr,19.733333333333334,2022-04-14,3
15,Apr,19.75,2022-04-15,4
16,Apr,19.766666666666666,2022-04-16,5
17,Apr,19.783333333333335,2022-04-17,6
18,Apr,19.8,2022-04-18,7
19,Apr,19.816666666666666,2022-04-19,8
20,Apr,19.833333333333332,2022-04-20,9
21,Apr,19.85,2022-04-21,10
22,Apr,19.866666666666667,2022-04-22,11
23,Apr,19.883333333333333,2022-04-23,12
24,Apr,19.9,2022-04-24,13
25,Apr,19.916666666666668,2022-04-25,14
26,Apr,19.933333333333334,2022-04-26,15
27,Apr,19.95,2022-04-27,16
28,Apr,19.966666666666665,2022-04-28,17
29,Apr,19.983333333333334,2022-04-29,18
30,Apr,20,2022-04-30,19
1,May,20.016666666666666,2022-05-01,20
2,May,20.033333333333335,2022-05-02,21
3,May,20.05,2022-05-03,22
4,May,20.066666666666666,2022-05-04,23
5,May,20.083333333333332,2022-05-05,24
6,May,20.083333333333332,2022-05-06,25
7,May,20.1,2022-05-07,26
8,May,20.116666666666667,2022-05-08,27
9,May,20.133333333333333,2022-05-09,28
10,May,20.15,2022-05-10,29
11,May,20.166666666666668,2022-05-11,30
12,May,20.183333333333334,2022-05-12,31
13,May,20.2,2022-05-13,32
14,May,20.216666666666665,2022-05-14,33
15,May,20.233333333333334,2022-05-15,34
16,May,20.25,2022-05-16,35
17,May,20.266666666666666,2022-05-17,36
18,May,20.283333333333335,2022-05-18,37
19,May,20.283333333333335,2022-05-19,38
20,May,20.3,2022-05-20,39
21,May,20.316666666666666,2022-05-21,40
22,May,20.333333333333332,2022-05-22,41
23,May,20.35,2022-05-23,42
24,May,20.366666666666667,2022-05-24,43
25,May,20.366666666666667,2022-05-25,44
26,May,20.383333333333333,2022-05-26,45
27,May,20.4,2022-05-27,46
28,May,20.416666666666668,2022-05-28,47
29,May,20.416666666666668,2022-05-29,48
30,May,20.433333333333334,2022-05-30,49
31,May,20.45,2022-05-31,50
1,Jun,20.466666666666665,2022-06-01,51
2,Jun,20.466666666666665,2022-06-02,52
3,Jun,20.483333333333334,2022-06-03,53
4,Jun,20.5,2022-06-04,54
5,Jun,20.5,2022-06-05,55
6,Jun,20.516666666666666,2022-06-06,56
7,Jun,20.516666666666666,2022-06-07,57
8,Jun,20.533333333333335,2022-06-08,58
9,Jun,20.533333333333335,2022-06-09,59
10,Jun,20.55,2022-06-10,60
11,Jun,20.55,2022-06-11,61
12,Jun,20.566666666666666,2022-06-12,62
13,Jun,20.566666666666666,2022-06-13,63
14,Jun,20.583333333333332,2022-06-14,64
15,Jun,20.583333333333332,2022-06-15,65
16,Jun,20.6,2022-06-16,66
17,Jun,20.6,2022-06-17,67
18,Jun,20.6,2022-06-18,68
19,Jun,20.6,2022-06-19,69
20,Jun,20.616666666666667,2022-06-20,70
21,Jun,20.616666666666667,2022-06-21,71
22,Jun,20.616666666666667,2022-06-22,72
23,Jun,20.616666666666667,2022-06-23,73
24,Jun,20.616666666666667,2022-06-24,74
25,Jun,20.616666666666667,2022-06-25,75
26,Jun,20.616666666666667,2022-06-26,76
27,Jun,20.633333333333333,2022-06-27,77
28,Jun,20.633333333333333,2022-06-28,78
29,Jun,20.616666666666667,2022-06-29,79
30,Jun,20.616666666666667,2022-06-30,80
1,Jul,20.616666666666667,2022-07-01,81
